transaction_id,customer_id,merchant_id,amount,currency,category,card_bin,card_last4,ip_country,billing_country,shipping_country,device_id,hour_of_day,day_of_week,velocity_count,customer_age_days,previous_orders,customer_lifetime_value,previous_disputes,return_rate,created_at,is_fraud,is_chargeback,is_return_fraud
txn_00000000,cust_002000,merchant_078,19228.76,INR,electronics,428289,1679,IN,IN,IN,8e56fc43-b18c-43da-8379-323a5fd8eaba,3,4,1,28,35,19883.77,3,0.11,2026-06-19T03:19:25.975994,0,0,0
txn_00000001,cust_002001,merchant_034,1399.81,INR,groceries,453457,6924,IN,IN,IN,28f99ab1-4b2c-4316-9ed5-6d1070fefa34,11,0,1,45,46,45942.49,0,0.49,2026-07-20T11:57:25.975994,0,0,0
txn_00000002,cust_002002,merchant_059,69121.6,INR,luxury,585674,3150,US,US,US,d3deafad-dbd4-469d-bf6c-70e87e30b2cd,17,0,1,651,23,16265.41,2,0.1,2026-07-06T17:57:25.975994,0,0,0
txn_00000003,cust_002003,merchant_008,3212.28,INR,groceries,480010,4010,IN,IN,IN,7c31ab77-bf88-407b-9cec-0e4bb5caad66,7,4,1,235,2,80504.58,3,0.13,2026-08-28T07:27:25.975994,0,0,0
txn_00000004,cust_002004,merchant_096,1334.28,INR,groceries,537869,8179,IN,IN,IN,fc6366f2-dbec-4aea-a448-614b205486f6,13,1,1,599,27,89782.29,3,0.18,2026-08-04T13:08:25.975994,0,0,0
txn_00000005,cust_000283,merchant_033,2668.57,INR,fashion,424371,2504,IN,IN,IN,a78a5fd0-711b-48dd-981d-c8dc4b16d237,3,5,1,567,0,68028.34,0,0.34,2026-08-01T03:56:25.975994,0,0,0
txn_00000006,cust_002006,merchant_039,33037.94,INR,electronics,448469,7123,IN,IN,IN,6ec45623-9f8c-45a4-b60a-91394ae248ac,1,5,1,655,32,60897.02,1,0.19,2026-07-11T01:40:25.975994,0,0,0
txn_00000007,cust_002007,merchant_011,36693.26,INR,jewelry,488504,5310,IN,IN,IN,07ebe08a-8bb4-4d27-b14a-da35575e065f,18,3,1,498,4,97798.45,1,0.06,2026-07-23T18:07:25.975994,0,0,0
txn_00000008,cust_002008,merchant_016,2372.34,INR,fashion,537760,8835,US,US,US,bee15ccc-4568-42e9-8846-f5c7077a7744,21,3,1,254,14,6402.59,0,0.29,2026-07-16T21:34:25.975994,0,0,0
txn_00000009,cust_002009,merchant_093,19674.63,INR,electronics,440007,1104,SG,SG,SG,9abbdf3e-95c6-487c-b486-7ebb0216d80c,1,2,1,585,36,47267.1,3,0.4,2026-06-17T01:07:25.975994,0,0,0
